 time            i(v_i_out)      i(v_i_amp)      v(dac_out)      v(q1)          
 1.72280000e-09  2.03904886e-09  6.86160657e-11  2.63191473e-01  1.81474974e-02 
 1.73280000e-09  2.03906034e-09 -2.13395866e-11  2.63191473e-01  1.83588758e-02 
 1.74280000e-09  2.03905326e-09  6.92058514e-11  2.63191473e-01  1.85707245e-02 
 1.75280000e-09  2.03906454e-09 -2.20575323e-11  2.63191473e-01  1.87850410e-02 
 1.76280000e-09  2.03904775e-09  6.97888683e-11  2.63191473e-01  1.89995933e-02 
 1.77280000e-09  2.03905918e-09 -2.27638791e-11  2.63191473e-01  1.92163848e-02 
 1.78280000e-09  2.03905801e-09  7.03637442e-11  2.63191473e-01  1.94332140e-02 
 1.79280000e-09  2.03905331e-09 -2.34624961e-11  2.63191473e-01  1.96520869e-02 
 1.80280000e-09  2.03905921e-09  7.09330251e-11  2.63191473e-01  1.98708291e-02 
 1.81280000e-09  2.03905256e-09 -2.41527184e-11  2.63191473e-01  2.00914469e-02 
 1.82280000e-09  2.03904007e-09  7.14947308e-11  2.63191473e-01  2.03117902e-02 
 1.83280000e-09  2.03905448e-09 -2.48320148e-11  2.63191473e-01  2.05338632e-02 
 1.84280000e-09  2.03904657e-09  7.20522450e-11  2.63191473e-01  2.07555380e-02 
 1.85280000e-09  2.03905342e-09 -2.55039907e-11  2.63191473e-01  2.09788150e-02 
 1.86280000e-09  2.03905314e-09  7.26012820e-11  2.63191473e-01  2.12015870e-02 
 1.87280000e-09  2.03905393e-09 -2.61673626e-11  2.63191473e-01  2.14258488e-02 
 1.88280000e-09  2.03905306e-09  7.31434758e-11  2.63191473e-01  2.16495121e-02 
 1.89280000e-09  2.03904632e-09 -2.68213835e-11  2.63191473e-01  2.18745655e-02 
 1.90280000e-09  2.03905038e-09  7.36803531e-11  2.63191473e-01  2.20989385e-02 
 1.91280000e-09  2.03904647e-09 -2.74689199e-11  2.63191473e-01  2.23246119e-02 
 1.92280000e-09  2.03905333e-09  7.42096703e-11  2.63191473e-01  2.25495322e-02 
 1.93280000e-09  2.03905707e-09 -2.81060861e-11  2.63191473e-01  2.27756720e-02 
 1.94280000e-09  2.03904413e-09  7.47345155e-11  2.63191473e-01  2.30009935e-02 
 1.95280000e-09  2.03904776e-09 -2.87356113e-11  2.63191473e-01  2.32274608e-02 
